Unnamed: 0,Company,TypeName,Ram,Gpu,Weight,Touchscreen,IPS_display,SSD,HDD,Flash_Storage,Hybrid,Oper_sys,Clock_speed,CPU,ppi,Price
345,Lenovo,Gaming,16.0,Nvidia,2.4,0,1,256,2000,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.004648590381796
346,HP,Notebook,2.0,Intel,1.44,0,0,0,0,32,0,Windows 10,1.6,Other Intel Processors,111.93520355955212,9.6067728080535
347,Dell,Ultrabook,16.0,Intel,1.88,0,0,256,0,0,0,Windows 10,1.9,Intel Core i7,141.21199808219862,11.358282600039752
348,Asus,2 in 1 Convertible,4.0,Intel,1.5,1,0,0,0,32,0,Windows 10,1.1,Other Intel Processors,135.0942111925629,9.902487052202543
349,Dell,Ultrabook,8.0,AMD,1.9,0,0,0,1000,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,10.472336016417996
350,Dell,Notebook,16.0,Nvidia,2.06,1,0,512,0,0,0,Windows 10,2.8,Intel Core i7,282.42399616439724,11.590080353983309
351,HP,Notebook,8.0,Intel,1.84,0,0,256,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,11.148752768718731
352,MSI,Gaming,8.0,Nvidia,2.7,0,0,128,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.226196538130814
353,HP,Workstation,8.0,Nvidia,2.6,0,0,256,0,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.436206670969892
354,Toshiba,Notebook,16.0,Nvidia,2.4,0,1,512,0,0,0,Windows 10,2.5,Intel Core i7,141.21199808219862,11.221929106334594
355,Dell,Notebook,8.0,AMD,2.02,0,0,128,2000,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,10.853784502608232
356,Lenovo,Notebook,4.0,Intel,2.2,0,0,0,1000,0,0,No OS/Chrome OS/Android,1.1,Other Intel Processors,100.45466986113652,9.750081515393676
357,Dell,Gaming,8.0,Nvidia,2.65,0,0,0,1000,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.882315804880689
358,Dell,Notebook,8.0,Intel,2.36,1,0,0,2000,0,0,Windows 10,2.5,Intel Core i5,100.45466986113652,10.298790318518323
359,Dell,Notebook,8.0,Intel,1.36,0,0,256,0,0,0,Windows 10,2.6,Intel Core i5,157.3505121487356,11.23889064370897
360,HP,Notebook,4.0,Intel,1.86,0,0,0,500,0,0,Windows 10,2.0,Intel Core i3,100.45466986113652,10.060060439307303
361,Asus,Notebook,8.0,Intel,2.0,0,0,256,0,0,0,Windows 10,2.5,Intel Core i5,157.3505121487356,10.826745953725876
362,Lenovo,Notebook,6.0,Nvidia,2.8,0,0,128,1000,0,0,Windows 10,2.5,Intel Core i5,106.11306214269258,10.55342238395318
363,HP,Notebook,8.0,Intel,1.86,0,0,0,1000,0,0,Windows 10,2.5,Intel Core i5,141.21199808219862,10.435465480609668
364,Lenovo,Notebook,8.0,Nvidia,2.2,0,0,256,0,0,0,No OS/Chrome OS/Android,2.0,Intel Core i3,100.45466986113652,10.188167121983652
365,HP,Notebook,8.0,Intel,2.04,0,0,0,2000,0,0,Windows 10,1.6,Other Intel Processors,100.45466986113652,9.93914036985058
366,Dell,Notebook,8.0,AMD,2.8,0,0,128,1000,0,0,Windows 10,1.6,Intel Core i5,127.33567457123112,10.964896292206694
367,Lenovo,Gaming,8.0,Nvidia,2.4,0,1,128,1000,0,0,No OS/Chrome OS/Android,2.5,Intel Core i5,141.21199808219862,10.671359943290623
368,Dell,Notebook,8.0,AMD,2.33,0,0,256,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,10.776844060703754
369,HP,Ultrabook,8.0,Intel,1.36,0,1,256,0,0,0,Windows 10,2.7,Intel Core i7,157.3505121487356,11.442932093149691
370,Asus,2 in 1 Convertible,12.0,Nvidia,2.26,1,0,512,2000,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,10.977716980635757
371,Acer,Notebook,4.0,AMD,2.1,0,0,128,0,0,0,Windows 10,3.0,AMD,100.45466986113652,10.030000372501505
372,Asus,Gaming,16.0,AMD,3.25,0,1,256,1000,0,0,Windows 10,3.0,AMD,127.33567457123112,11.671319016786894
373,Lenovo,Notebook,4.0,AMD,2.6,0,0,128,0,0,0,Windows 10,2.2,AMD,106.11306214269258,10.167923515707006
374,Dell,2 in 1 Convertible,8.0,Intel,1.62,1,0,256,0,0,0,Windows 10,1.8,Intel Core i7,165.6321180513006,10.742915658911176
375,HP,Notebook,4.0,AMD,1.91,0,0,256,0,0,0,Windows 10,3.0,AMD,141.21199808219862,10.167903065600154
376,Lenovo,Netbook,4.0,Intel,1.59,0,1,128,0,0,0,Windows 10,1.1,Other Intel Processors,135.0942111925629,10.290919027754468
377,Dell,Notebook,4.0,Intel,1.8,0,0,0,500,0,0,Windows 10,1.6,Other Intel Processors,100.45466986113652,9.70890230312988
378,Asus,Notebook,4.0,Intel,1.5,0,0,0,0,32,0,Windows 10,1.1,Other Intel Processors,111.93520355955212,9.631552837051986
379,Acer,Notebook,8.0,Nvidia,2.4,0,0,0,1000,0,0,Linux,2.8,Intel Core i7,141.21199808219862,10.716080385838357
380,HP,Gaming,8.0,Nvidia,3.35,0,1,128,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.058109595587434
381,Lenovo,Notebook,4.0,Intel,1.85,0,0,128,0,0,0,No OS/Chrome OS/Android,2.0,Intel Core i3,141.21199808219862,9.975737513942136
382,Asus,Gaming,8.0,Nvidia,2.3,0,1,128,1000,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.387117314043296
383,Lenovo,Notebook,8.0,Nvidia,1.5,0,1,256,0,0,0,Windows 10,2.5,Intel Core i5,157.3505121487356,10.977716980635757
384,Asus,Ultrabook,16.0,Intel,1.1,1,0,512,0,0,0,Windows 10,2.7,Intel Core i7,165.6321180513006,11.44230332408728
385,Lenovo,Ultrabook,8.0,Intel,1.13,0,1,512,0,0,0,Windows 10,2.7,Intel Core i7,209.8006828649808,11.708368556654154
386,Lenovo,Notebook,4.0,Intel,1.5,0,1,128,0,0,0,Windows 10,2.4,Intel Core i3,165.6321180513006,10.283659467741664
387,Dell,Workstation,8.0,AMD,2.23,0,0,0,500,0,0,Windows 10,2.6,Intel Core i5,141.21199808219862,11.197396851520583
388,Dell,Workstation,8.0,Nvidia,2.0,0,1,256,0,0,0,Windows 10,2.7,Intel Core i7,141.21199808219862,11.64178295189486
389,Lenovo,2 in 1 Convertible,16.0,Intel,1.42,1,0,512,0,0,0,Windows 10,2.7,Intel Core i7,209.8006828649808,11.803200572598556
390,Asus,Gaming,8.0,Nvidia,3.0,0,0,0,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,10.921575017331362
391,Asus,Gaming,16.0,Nvidia,3.0,0,0,256,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.34767905456992
392,Acer,Notebook,12.0,Nvidia,2.2,0,1,0,1000,0,0,Windows 10,1.6,Intel Core i5,100.45466986113652,10.518018577413224
393,MSI,Gaming,8.0,Nvidia,2.7,0,0,256,0,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.18267988243989
394,Dell,Notebook,8.0,AMD,2.33,0,0,256,0,0,0,Linux,2.7,Intel Core i7,141.21199808219862,10.633405177560588
395,HP,Ultrabook,4.0,AMD,1.91,0,0,256,0,0,0,Windows 10,3.0,AMD,141.21199808219862,10.188167121983652
396,Lenovo,Notebook,8.0,AMD,2.1,0,1,256,0,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,11.08997268702302
397,Lenovo,Notebook,8.0,Intel,1.9,0,1,256,0,0,0,Windows 10,2.5,Intel Core i5,157.3505121487356,10.81931097523836
398,Dell,Workstation,8.0,Nvidia,1.78,1,0,256,0,0,0,Windows 10,2.8,Intel Core i7,282.42399616439724,11.88100267529242
399,Lenovo,Ultrabook,16.0,Intel,1.13,0,1,1000,0,0,0,Windows 10,2.7,Intel Core i7,209.8006828649808,11.84839720125786
400,Lenovo,Notebook,4.0,Intel,2.2,0,0,0,1000,0,0,Windows 10,1.1,Other Intel Processors,100.45466986113652,9.699146128184514
401,Asus,Gaming,16.0,Nvidia,2.9,0,0,256,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.307930232161196
402,Lenovo,Notebook,8.0,AMD,2.1,0,1,256,1000,0,0,Windows 10,1.6,Intel Core i5,141.21199808219862,11.018284165624754
403,Acer,Notebook,8.0,Nvidia,2.5,0,0,256,0,0,0,Linux,2.8,Intel Core i7,141.21199808219862,10.754345923917311
404,MSI,Gaming,16.0,Nvidia,2.8,0,0,256,1000,0,0,Windows 10,2.8,Intel Core i7,127.33567457123112,11.69380197819145
405,Asus,Ultrabook,8.0,Intel,1.1,0,0,512,0,0,0,Windows 10,2.7,Intel Core i7,157.3505121487356,11.510857728676225
406,Toshiba,Ultrabook,16.0,Intel,1.2,0,0,512,0,0,0,Windows 10,2.5,Intel Core i7,165.6321180513006,11.44121633636619
407,Dell,Ultrabook,8.0,Intel,1.36,0,0,512,0,0,0,Windows 10,2.8,Intel Core i7,157.3505121487356,11.402110098629436
408,Lenovo,Notebook,4.0,Intel,2.2,0,0,0,500,0,0,Windows 10,2.0,Intel Core i3,141.21199808219862,9.989276182274937
409,Lenovo,Notebook,2.0,Intel,1.15,0,0,0,0,32,0,Windows 10,1.1,Other Intel Processors,135.0942111925629,9.694067896286716
410,Lenovo,Workstation,8.0,Nvidia,2.67,0,0,512,0,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.53824227295402
411,Lenovo,Ultrabook,8.0,Nvidia,1.7,0,1,512,0,0,0,Windows 10,2.8,Intel Core i7,209.8006828649808,11.547549475609571
412,HP,Notebook,4.0,AMD,2.1,0,0,0,1000,0,0,Windows 10,2.0,Intel Core i3,141.21199808219862,10.126163794678414
413,Acer,2 in 1 Convertible,8.0,Intel,1.6,1,1,256,0,0,0,Windows 10,2.5,Intel Core i7,165.6321180513006,10.64634002126892
414,Asus,2 in 1 Convertible,8.0,Intel,1.27,1,1,256,0,0,0,Windows 10,2.5,Intel Core i5,165.6321180513006,10.808592759018332
415,Dell,Notebook,4.0,AMD,2.3,0,0,256,0,0,0,Linux,2.5,Intel Core i5,141.21199808219862,10.37065566550255
416,Dell,Notebook,4.0,Intel,1.65,0,0,128,0,0,0,Windows 10,2.0,Intel Core i3,117.82653006268644,10.510802297245792
417,HP,Ultrabook,8.0,Intel,1.43,0,0,256,0,0,0,Windows 10,2.5,Intel Core i7,157.3505121487356,11.288781413322436
418,Dell,Notebook,8.0,Intel,2.14,0,0,0,1000,0,0,Windows 10,2.5,Intel Core i5,100.45466986113652,10.267037568910904
419,Lenovo,Ultrabook,8.0,AMD,1.75,0,1,256,0,0,0,Windows 10,1.8,Intel Core i7,157.3505121487356,11.078373090310093
420,Lenovo,2 in 1 Convertible,16.0,Nvidia,2.0,1,1,512,0,0,0,Windows 10,2.8,Intel Core i7,282.42399616439724,11.52464373704442
421,Chuwi,Notebook,6.0,Intel,1.4,0,1,0,0,64,0,Windows 10,1.1,Other Intel Processors,267.3384360344031,10.082583913974387
422,HP,Notebook,8.0,Intel,2.31,0,0,256,0,0,0,Windows 10,2.9,Intel Core i7,141.21199808219862,11.23889064370897
423,Asus,Notebook,8.0,Nvidia,2.3,0,0,0,1000,0,0,Linux,2.4,Intel Core i3,141.21199808219862,10.367478139624737
424,Dell,Gaming,16.0,Nvidia,4.42,0,1,256,1000,0,0,Windows 10,2.9,Intel Core i7,169.78089942830815,11.912578515747589
425,Dell,Gaming,8.0,Nvidia,2.62,0,1,128,1000,0,0,Windows 10,2.8,Intel Core i7,141.21199808219862,11.030873869571886
426,Dell,Notebook,8.0,AMD,2.02,0,0,256,2000,0,0,Windows 10,1.8,Intel Core i7,141.21199808219862,11.016447617817454
